,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Independent University, Bangladesh",,,,,,,,,,,,,,
Tally Sheet For Spring 2020,,,,,,,,,,,,,,
"Undergraduate, Dhaka Campus",,,,,,,,,,,,,,
SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW
SBE,ACN202,ACN202,6,3,41,41,BC2011-S,50,-1,Management of Accounting,3563-MR Mohammed Naveed Siddiquee,13:40,15:10,MW
SBE,ACN202,ACN202,7,3,40,40,BC2010-S,50,-1,Management of Accounting,3493-MR Ashraful Arefin,9:40,11:10,ST
SBE,ACN301,ACN301,1,3,40,29,BC2011-S,50,-1,Intermediate Accounting,3147-DR Rushdi Rezaur Razzaque,9:40,11:10,ST
SBE,ACN301,ACN301,2,3,40,32,BC2013-S,50,-1,Intermediate Accounting,3511-MS Susmita Mandal,13:40,15:10,ST
SBE,ACN305,ACN305,1,3,40,39,BC2010-S,50,-1,Financial Accounting,3478-MR Md. Safiuddin,13:40,15:10,ST
SBE,ACN305,ACN305,2,3,40,33,BC2009-S,50,-1,Financial Accounting,3147-DR Rushdi Rezaur Razzaque,9:40,11:10,MW
SBE,ACN402,ACN402,1,3,40,38,BC2012-S,50,-1,Income Tax Accounting,3478-MR Md. Safiuddin,9:40,11:10,ST
SBE,ACN402,ACN402,2,3,20,19,C4006-S,20,-1,Income Tax Accounting,3603-MR Md. Rezaul Karim,9:40,11:10,MW
SBE,ACN403,ACN403,1,3,35,30,C5004-S,40,-1,Auditing,3563-MR Mohammed Naveed Siddiquee,9:40,11:10,MW
SBE,ACN403,ACN403,2,3,35,22,C2004-S,40,-1,Auditing,3427-MS Nimat Zarin,8:00,9:30,ST
SBE,ACN405,ACN405,1,3,40,35,BC2012-S,50,-1,Cost Accounting 1,3376-MR Naheem Mahtab,11:20,12:50,ST
SBE,ACN405,ACN405,2,3,40,17,BC2010-S,50,-1,Cost Accounting 1,3511-MS Susmita Mandal,8:00,9:30,MW
SBE,ACN406,ACN406,1,3,25,12,BC4010-S,25,-1,Cost Accounting II,3376-MR Naheem Mahtab,9:40,11:10,ST
SBE,ACN441,"ACN441,MIS441",1,3,48,45,BC2010-S,50,-1,Accounting Information System,3563-MR Mohammed Naveed Siddiquee,17:00,18:30,ST
SLASS,ANT101,ANT101,1,3,40,38,BC8012-S,50,-1,Introduction to Anthropology,2326-MR Maidul Alam Chaklader,15:20,16:50,ST
SLASS,ANT101,ANT101,2,3,40,38,BC9014-S,50,-1,Introduction to Anthropology,2326-MR Maidul Alam Chaklader,15:20,16:50,MW
SLASS,ANT101,ANT101,3,3,40,40,C3004-S,40,-1,Introduction to Anthropology,2194-MR Mohammad Mahfuzul Islam,13:40,15:10,ST
